symbol,market,timeframe,action,strength,confidence,entryTime,exitTime,holdBars,entry,exit,stopLoss,takeProfit,exitReason,rrPlanned,stopDistPct,plannedRisk,realizedRisk,riskKeepRatio,rGrossPlanned,rGrossRealized,rGross,costR,costRBase,rNet,tradeable
KO,US_STOCK,1D,BUY,moderate,64,1970-04-02T14:30:00.000Z,1970-04-06T14:30:00.000Z,2,0.8372399806976318,0.821754,0.821754,0.868212,stop_loss,2,0.018496488888521855,0.015486,0.015485980697631851,0.9999987535601093,-0.9999987535601093,-1,-0.9999987535601093,0.027032157455044295,0.027032157455044295,-1.0270309110151536,1
BA,US_STOCK,1D,BUY,moderate,58,1970-04-10T14:30:00.000Z,1970-04-13T14:30:00.000Z,1,0.7613170146942139,0.720753,0.720753,0.842444,stop_loss,1.9999753475988526,0.05328135220554967,0.040564000000000044,0.04056401469421389,1.0000003622476543,-1.0000003622476543,-1,-1.0000003622476543,0.009384146221948194,0.009384146221948194,-1.0093845084696025,1
KO,US_STOCK,1D,SELL,moderate,64,1970-04-07T14:30:00.000Z,1970-04-13T14:30:00.000Z,4,0.8177080154418945,0.786178,0.833473,0.786178,take_profit,1.999999999999993,0.019279497940937418,0.01576500000000003,0.015764984558105488,0.9999990204951131,2.00000097950488,2.0000029385175315,2.00000097950488,0.025934285297871645,0.025934285297871645,1.9740666942070082,1
XOM,US_STOCK,1D,SELL,strong,70,1970-04-13T14:30:00.000Z,1970-04-20T14:30:00.000Z,5,1.75,1.6772,1.7864,1.6772,take_profit,2,0.020799999999999992,0.03639999999999999,0.03639999999999999,1,2,2,2,0.024038461538461547,0.024038461538461547,1.9759615384615385,1
DIS,US_STOCK,1D,SELL,moderate,64,1970-04-10T14:30:00.000Z,1970-04-23T14:30:00.000Z,9,0.7167540192604065,0.66019,0.745036,0.66019,take_profit,1.999999999999996,0.03945844632888594,0.02828200000000003,0.028281980739593537,0.9999993189871123,2.000000681012884,2.000002043040051,2.000000681012884,0.012671558221844384,0.012671558221844384,1.9873291227910395,1
BA,US_STOCK,1D,SELL,moderate,58,1970-04-15T14:30:00.000Z,1970-04-27T13:30:00.000Z,8,0.7201650142669678,0.639919,0.760288,0.639919,take_profit,2.0000000000000053,0.05571362008030866,0.04012299999999991,0.04012298573303219,0.999999644419218,2.0000003555807875,2.000001066742731,2.0000003555807875,0.008974466194788144,0.008974466194788144,1.9910258893859993,1
KO,US_STOCK,1D,BUY,strong,70,1970-04-14T14:30:00.000Z,1970-04-27T13:30:00.000Z,9,0.7799479961395264,0.765625,0.763299,0.821057,time_exit,1.9999480600425834,0.024684979120782137,0.019253000000000076,0.016648996139526417,0.8647481503935154,-0.7439358094596328,-0.8602918770292769,-0.7439358094596328,0.02025523285045248,0.02025523285045248,-0.7641910423100853,1
KO,US_STOCK,1D,SELL,moderate,58,1970-05-12T13:30:00.000Z,1970-05-20T13:30:00.000Z,6,0.7513020038604736,0.697731,0.778088,0.697731,take_profit,1.9999626670648878,0.03565277326875662,0.026785999999999976,0.02678599613952637,0.9999998558771893,1.9999628111876984,1.9999630994280015,1.9999628111876984,0.014024154481081054,0.014024154481081054,1.9859386567066173,1
XOM,US_STOCK,1D,BUY,strong,70,1970-05-19T13:30:00.000Z,1970-05-21T13:30:00.000Z,2,1.683593988418579,1.6444,1.6444,1.7737,stop_loss,2.0000000000000053,0.02559999637471044,0.043099999999999916,0.03919398841857902,0.9093732811735289,-0.9093732811735289,-1,-0.9093732811735289,0.019531252765876826,0.019531252765876826,-0.9289045339394058,1
XOM,US_STOCK,1D,SELL,moderate,64,1970-05-26T13:30:00.000Z,1970-05-27T13:30:00.000Z,1,1.6015629768371582,1.6463,1.6463,1.512,stop_loss,2.004474272930638,0.02791023559265577,0.044700000000000184,0.044737023162841894,1.0008282586765482,-1.0008282586765482,-1,-1.0008282586765482,0.017914574684979326,0.017914574684979326,-1.0187428333615276,1
XOM,US_STOCK,1D,BUY,moderate,64,1970-05-28T13:30:00.000Z,1970-05-29T13:30:00.000Z,1,1.675781011581421,1.762,1.6151,1.762,take_profit,1.9979591836734742,0.029240097400172253,0.04899999999999993,0.06068101158142092,1.2383879914575715,1.7595711922159027,1.4208561487623141,1.7595711922159027,0.017099806240626767,0.017099806240626767,1.742471385975276,1
BA,US_STOCK,1D,SELL,moderate,64,1970-05-21T13:30:00.000Z,1970-06-03T13:30:00.000Z,9,0.6008229851722717,0.5720160007476807,0.638301,0.525868,time_exit,1.9999733176797048,0.06237777336240571,0.03747800000000001,0.03747801482772828,1.0000003956381949,0.768637185137709,0.7686368810356008,0.768637185137709,0.008015675665353963,0.008015675665353963,0.760621509472355,1
DIS,US_STOCK,1D,SELL,moderate,64,1970-05-22T13:30:00.000Z,1970-06-03T13:30:00.000Z,8,0.5805960297584534,0.628766,0.628766,0.484257,stop_loss,1.9999792401909884,0.08296646468636776,0.048170000000000046,0.04816997024154668,0.9999993822201917,-0.9999993822201917,-1,-0.9999993822201917,0.006026531344804368,0.006026531344804368,-1.006025913564996,1
