symbol,market,timeframe,action,strength,confidence,entryTime,exitTime,holdBars,entry,exit,stopLoss,takeProfit,exitReason,rrPlanned,stopDistPct,plannedRisk,realizedRisk,riskKeepRatio,rGrossPlanned,rGrossRealized,rGross,costR,costRBase,rNet,tradeable
DELTA,TH_STOCK,1D,SELL,moderate,58,2000-04-05T03:00:00.000Z,2000-04-07T03:00:00.000Z,1,3.746000051498413,3.7979,3.7979,3.3993,stop_loss,6.680154142581905,0.013854778239856045,0.051899999999999835,0.051899948501586746,0.9999990077377054,-0.9999990077377054,-1,-0.9999990077377054,0.288709059845736,0.288709059845736,-1.2887080675834415,1
PTTEP,TH_STOCK,1D,SELL,moderate,58,2000-04-07T03:00:00.000Z,2000-04-12T03:00:00.000Z,3,19.103313446044922,19.6916,19.6916,17.342,stop_loss,2,0.04099812329479165,0.7832000000000008,0.5882865539550792,0.7511319636811525,-0.7511319636811525,-1,-0.7511319636811525,0.09756544150176151,0.09756544150176151,-0.848697405182914,1
CPF,TH_STOCK,1D,BUY,moderate,64,2000-04-18T03:00:00.000Z,2000-04-18T03:00:00.000Z,0,8.850000381469727,7.745,7.745,9.14,stop_loss,1.9999999999999962,0.05254237061657367,0.46500000000000075,1.1050003814697265,2.3763449063865045,-2.3763449063865045,-1,-2.3763449063865045,0.07612903553952442,0.07612903553952442,-2.452473941926029,1
CPF,TH_STOCK,1D,BUY,moderate,64,2000-04-24T03:00:00.000Z,2000-04-24T03:00:00.000Z,0,8.100000381469727,8.100000381469727,7.4189,8.0595,gap_target,0.015053081920455019,0.07791357657757163,0.6311000000000009,0.6811003814697267,1.0792273514018789,0,0,0,0.05133893444125949,0.05133893444125949,-0.05133893444125949,1
CPF,TH_STOCK,1D,BUY,moderate,64,2000-04-25T03:00:00.000Z,2000-05-02T03:00:00.000Z,4,8.149999618530273,7.5082,7.5082,9.4336,stop_loss,2,0.07874846994357758,0.6417999999999999,0.641799618530273,0.9999994056252307,-0.9999994056252307,-1,-0.9999994056252307,0.05079463769729058,0.05079463769729058,-1.0507940433225214,1
SCC,TH_STOCK,1D,BUY,moderate,58,2000-04-04T03:00:00.000Z,2000-05-02T03:00:00.000Z,15,53.20000076293945,51.5571,51.5571,58.8857,stop_loss,1.9999590650456411,0.045919172273805514,2.4429000000000016,1.6429007629394548,0.67252067744871,-0.67252067744871,-1,-0.67252067744871,0.0871095841220507,0.0871095841220507,-0.7596302615707607,1
KBANK,TH_STOCK,1D,SELL,moderate,64,2000-04-20T03:00:00.000Z,2000-05-03T03:00:00.000Z,8,33.75,33.165,35.1607,33.165,take_profit,0.20172216535196072,0.04920592592592588,1.6606999999999985,1.4106999999999985,0.8494610706328656,0.35226109471909517,0.4146877436733547,0.35226109471909517,0.08129102185825263,0.08129102185825263,0.2709700728608425,1
CPF,TH_STOCK,1D,SELL,moderate,58,2000-05-03T03:00:00.000Z,2000-05-10T03:00:00.000Z,4,7.300000190734863,6.099999904632568,8.0204,6.1593,gap_target,1.9998388136686012,0.0849862991493356,0.6204000000000001,0.7203998092651371,1.1611860239605691,1.9342364379469612,1.6657420930280187,1.9342364379469612,0.047066409998290544,0.047066409998290544,1.8871700279486707,1
BBL,TH_STOCK,1D,SELL,moderate,58,2000-04-03T03:00:00.000Z,2000-05-15T03:00:00.000Z,24,39,33.3214,41.8393,33.3214,take_profit,2,0.07280256410256414,2.8393000000000015,2.8393000000000015,1,2,2,2,0.054943119783045086,0.054943119783045086,1.945056880216955,1
ADVANC,TH_STOCK,1D,BUY,strong,70,2000-05-12T03:00:00.000Z,2000-05-18T03:00:00.000Z,3,33,35.5714,31.7143,35.5714,take_profit,2,0.038960606060606015,1.2856999999999985,1.2856999999999985,1,2,2,2,0.10266780742008257,0.10266780742008257,1.8973321925799174,1
PTTEP,TH_STOCK,1D,BUY,moderate,64,2000-05-18T03:00:00.000Z,2000-05-18T03:00:00.000Z,0,18.518518447875977,17.9372,17.9372,19.9735,stop_loss,1.999852681202127,0.03665520013982843,0.678799999999999,0.5813184478759759,0.8563913492574791,-0.8563913492574791,-1,-0.8563913492574791,0.10912503504935772,0.10912503504935772,-0.9655163843068368,1
ADVANC,TH_STOCK,1D,BUY,moderate,64,2000-05-22T03:00:00.000Z,2000-05-22T03:00:00.000Z,0,35,35,36.019,39.9286,gap_stop,20.59999999999949,0.0051714285714287,0.1810000000000045,1.0189999999999984,5.629834254143498,0,0,0,0.7734806629834063,0.7734806629834063,-0.7734806629834063,1
BBL,TH_STOCK,1D,BUY,moderate,64,2000-05-22T03:00:00.000Z,2000-05-24T03:00:00.000Z,2,31.25,30.25,30.3214,36.1071,gap_stop,1.9999481489163142,0.061715199999999984,1.9285999999999994,0.9285999999999994,0.48148916312350915,-0.5185108368764909,-1.0768899418479438,-0.5185108368764909,0.06481385460956136,0.06481385460956136,-0.5833246914860523,1
PTTEP,TH_STOCK,1D,SELL,strong,70,2000-05-19T03:00:00.000Z,2000-05-24T03:00:00.000Z,3,17.73879051208496,16.1167,18.4036,16.1167,take_profit,2,0.04297361759138343,0.7622999999999998,0.6648094879150399,0.8721100458022303,2.12788995419777,2.4399328553088524,2.12788995419777,0.09308036474923241,0.09308036474923241,2.0348095894485376,1
ADVANC,TH_STOCK,1D,SELL,moderate,64,2000-05-25T03:00:00.000Z,2000-05-26T03:00:00.000Z,1,33.79999923706055,35.05,35.05,28.3,stop_loss,1.9999999999999984,0.06656804883986363,2.25,1.2500007629394503,0.5555558946397556,-0.5555558946397556,-1,-0.5555558946397556,0.060088887532552086,0.060088887532552086,-0.6156447821723077,1
ADVANC,TH_STOCK,1D,BUY,strong,70,2000-05-29T03:00:00.000Z,2000-05-29T03:00:00.000Z,0,36.400001525878906,36.019,36.019,41.4286,stop_loss,28.88729281767884,0.004972527264080495,0.1810000000000045,0.3810015258789079,2.104980805960765,-2.104980805960765,-1,-2.104980805960765,0.8044199232238233,0.8044199232238233,-2.9094007291845885,1
ADVANC,TH_STOCK,1D,SELL,strong,82,2000-05-30T03:00:00.000Z,2000-05-31T03:00:00.000Z,1,34,35.6714,35.6714,27.0571,stop_loss,2.000034826217175,0.08445294117647062,2.8714000000000013,1.6713999999999984,0.5820853938845154,-0.5820853938845154,-1,-0.5820853938845154,0.04736365535975481,0.04736365535975481,-0.6294490492442703,1
ADVANC,TH_STOCK,1D,SELL,moderate,58,2000-06-07T03:00:00.000Z,2000-06-07T03:00:00.000Z,0,37.20000076293945,37.386,37.386,30.2,stop_loss,11.262798634812174,0.015752687848969316,0.5860000000000056,0.18599923706054966,0.3174048414002523,-0.3174048414002523,-1,-0.3174048414002523,0.2539249198835433,0.2539249198835433,-0.5713297612837956,1
BBL,TH_STOCK,1D,BUY,moderate,64,2000-06-05T03:00:00.000Z,2000-06-07T03:00:00.000Z,2,35,33.3325,33.3325,38.6071,stop_loss,6.902022471910149,0.019071428571428482,0.6674999999999969,1.6674999999999969,2.4981273408239772,-2.4981273408239772,-1,-2.4981273408239772,0.20973782771535682,0.20973782771535682,-2.707865168539334,1
DELTA,TH_STOCK,1D,SELL,moderate,58,2000-06-29T03:00:00.000Z,2000-07-03T03:00:00.000Z,2,2.5399999618530273,2.2319,2.6671,2.2319,take_profit,1.999310820124048,0.05712598510991481,0.14510000000000023,0.12710003814697268,0.8759478852306856,2.1233629348933625,2.4240745033982964,2.1233629348933625,0.0700206743446733,0.0700206743446733,2.053342260548689,1
KBANK,TH_STOCK,1D,BUY,moderate,58,2000-06-05T03:00:00.000Z,2000-07-03T03:00:00.000Z,20,30.5,27.2411,27.2411,33.2679,stop_loss,2.0000497784857365,0.06586557377049182,2.0089000000000006,3.2589000000000006,1.6222310717307977,-1.6222310717307977,-1,-1.6222310717307977,0.06072975260092586,0.06072975260092586,-1.6829608243317236,1
ADVANC,TH_STOCK,1D,SELL,moderate,64,2000-07-03T03:00:00.000Z,2000-07-06T03:00:00.000Z,3,36.20000076293945,37.1857,37.1857,34.2286,stop_loss,2.000000000000014,0.02722928119408015,0.9856999999999942,0.985699237060544,0.9999992259922388,-0.9999992259922388,-1,-0.9999992259922388,0.14690068281602783,0.14690068281602783,-1.1468999088082665,1
CPF,TH_STOCK,1D,BUY,moderate,64,2000-05-25T03:00:00.000Z,2000-07-06T03:00:00.000Z,30,5.800000190734863,5.1786,5.1786,6.5929,stop_loss,2.000212134068731,0.08127585939618277,0.47140000000000004,0.621400190734863,1.3182015077107825,-1.3182015077107825,-1,-1.3182015077107825,0.049215105564148175,0.049215105564148175,-1.3674166132749306,1
ADVANC,TH_STOCK,1D,BUY,moderate,64,2000-07-11T03:00:00.000Z,2000-07-14T03:00:00.000Z,3,39.400001525878906,37.79999923706055,37.9857,42.2286,gap_stop,2.000000000000005,0.03589593769612038,1.4142999999999972,1.414301525878905,1.0000010788933802,-1.1313033223632627,-1.131302101808914,-1.1313033223632627,0.11143322216185812,0.11143322216185812,-1.2427365445251208,1
