symbol,market,timeframe,action,strength,confidence,entryTime,exitTime,holdBars,entry,exit,stopLoss,takeProfit,exitReason,rrPlanned,stopDistPct,plannedRisk,realizedRisk,riskKeepRatio,rGrossPlanned,rGrossRealized,rGross,costR,costRBase,rNet,tradeable
PA=F,GOLD,1H,BUY,moderate,58,2024-03-27T20:00:00.000Z,2024-03-27T20:00:00.000Z,0,996,997.5,983.1429,1026.2143,time_exit,2.000006965194935,0.014414759036144524,14.357099999999946,12.857099999999946,0.8955220761853017,0.10447792381469835,0.11666705555685235,0.10447792381469835,0.1387466828259194,0.1387466828259194,-0.03426875901122105,1
PL=F,GOLD,1H,BUY,moderate,64,2024-03-27T20:00:00.000Z,2024-03-27T20:00:00.000Z,0,910.4000244140625,911,886.7643,957.6715,time_exit,2.0000042308880297,0.025961884189548402,23.63569999999993,23.63572441406245,1.0000010329316467,0.025384295194874777,0.025384268974660024,0.025384295194874777,0.04622160669228659,0.04622160669228659,-0.02083731149741181,1
PL=F,GOLD,1H,BUY,strong,82,2024-03-27T22:00:00.000Z,2024-03-27T22:00:00.000Z,0,911.2000122070312,908.9000244140625,885.9071,961.1857,time_exit,1.9999960148089708,0.027538300772430958,25.092899999999986,25.292912207031236,1.0079708685337785,-0.0916589072195223,-0.09093408359395527,-0.0916589072195223,0.0435756733836439,0.0435756733836439,-0.1352345806031662,1
PL=F,GOLD,1H,BUY,strong,70,2024-03-28T02:00:00.000Z,2024-03-28T02:00:00.000Z,0,910,912.0999755859375,888.6714,952.0571,time_exit,1.9999952670787475,0.023218241758241765,21.128600000000006,21.32860000000005,1.0094658425073144,0.09939019082842684,0.09845820100416787,0.09939019082842684,0.051683500089925484,0.051683500089925484,0.04770669073850136,1
HG=F,GOLD,1H,BUY,strong,76,2024-03-28T03:00:00.000Z,2024-03-28T03:00:00.000Z,0,4.023499965667725,4.027500152587891,4.0049,4.0621,time_exit,1.9947643979057714,0.004747110765000375,0.019099999999999895,0.018599965667724483,0.9738201920274652,0.20943387016576112,0.21506420988224317,0.20943387016576112,0.21065444846427991,0.21065444846427991,-0.001220578298518793,1
HG=F,GOLD,1H,BUY,moderate,58,2024-03-28T05:00:00.000Z,2024-03-28T05:00:00.000Z,0,4.0295000076293945,4.0229997634887695,4.0129,4.0642,time_exit,1.999999999999948,0.004243702684606833,0.017100000000000115,0.016600007629394398,0.9707606800815372,-0.3801312362938571,-0.39158079235546367,-0.3801312362938571,0.235643275299963,0.235643275299963,-0.6157745115938201,1
PL=F,GOLD,1H,BUY,strong,70,2024-03-28T05:00:00.000Z,2024-03-28T05:00:00.000Z,0,913.7999877929688,914.2999877929688,895.375,950.95,time_exit,2.000000000000006,0.020272488780331454,18.524999999999977,18.42498779296875,0.9946012303896773,0.026990553306342813,0.027137060041407868,0.026990553306342813,0.05919352147646768,0.05919352147646768,-0.032202968170124864,1
PL=F,GOLD,1H,BUY,moderate,64,2024-03-28T07:00:00.000Z,2024-03-28T07:00:00.000Z,0,913,908.5,894.8071,949.3857,time_exit,1.9999945033502093,0.019926506024096395,18.19290000000001,18.19290000000001,1,-0.24734924063783112,-0.24734924063783112,-0.24734924063783112,0.06022129512062394,0.06022129512062394,-0.30757053575845505,1
XAUUSD,GOLD,1H,BUY,moderate,64,2024-03-28T07:00:00.000Z,2024-03-28T07:00:00.000Z,0,2219.199951171875,2214,2181.6537,2293.9929,time_exit,1.9999999999999878,0.016873828777900904,37.44640000000027,37.546251171875156,1.0026665092472145,-0.13886384730908613,-0.13849455030999575,-0.13886384730908613,0.017779011743493573,0.017779011743493573,-0.1566428590525797,1
XAGUSD,GOLD,1H,SELL,strong,70,2024-03-28T08:00:00.000Z,2024-03-28T08:00:00.000Z,0,24.594999313354492,24.524999618530273,24.7112,24.3625,time_exit,2.0008605851978714,0.004724537639523695,0.11620000000000275,0.11620068664550942,1.0000059091695928,0.6024070122566015,0.6024034525524371,0.6024070122566015,0.31749138528425874,0.31749138528425874,0.2849156269723428,1
