symbol,market,timeframe,action,strength,confidence,entryTime,exitTime,holdBars,entry,exit,stopLoss,takeProfit,exitReason,rrPlanned,stopDistPct,plannedRisk,realizedRisk,riskKeepRatio,rGrossPlanned,rGrossRealized,rGross,costR,costRBase,rNet,tradeable
CPF,TH_STOCK,1H,BUY,moderate,64,2023-09-05T05:00:00.000Z,2023-09-05T05:00:00.000Z,0,20.899999618530273,21,20.6429,21.4143,time_exit,2.0003889537145345,0.012301435631225979,0.25709999999999766,0.2570996185302725,0.9999985162593343,0.38895519824864827,0.3889557753581493,0.38895519824864827,0.3251652993937062,0.3251652993937062,0.06378989885494207,1
IVL,TH_STOCK,1H,SELL,moderate,64,2023-09-05T05:00:00.000Z,2023-09-05T05:00:00.000Z,0,28.75,28.75,29.2857,27.6786,time_exit,2.0000000000000067,0.01863304347826082,0.5356999999999985,0.5356999999999985,1,0,0,0,0.21467239126376764,0.21467239126376764,-0.21467239126376764,1
ADVANC,TH_STOCK,1H,BUY,moderate,58,2023-09-05T07:00:00.000Z,2023-09-05T07:00:00.000Z,0,214,213,212.2143,220.5714,time_exit,2.00000000000001,0.013017289719626127,2.7856999999999914,1.7856999999999914,0.6410238001220508,-0.3589761998779492,-0.560004480035843,-0.3589761998779492,0.30728362709552454,0.30728362709552454,-0.6662598269734737,1
KBANK,TH_STOCK,1H,SELL,moderate,64,2023-09-05T07:00:00.000Z,2023-09-05T07:00:00.000Z,0,130,129.5,131.0714,127.8571,time_exit,2.0000933358222652,0.008241538461538548,1.0714000000000112,1.0714000000000112,1,0.4666791114429669,0.4666791114429669,0.4666791114429669,0.48534627590068563,0.48534627590068563,-0.01866716445771871,1
PTTEP,TH_STOCK,1H,SELL,moderate,58,2023-09-05T09:00:00.000Z,2023-09-05T09:00:00.000Z,0,161,161,162.3929,158.2143,time_exit,1.9999282073372078,0.008651552795031039,1.3928999999999974,1.3928999999999974,1,0,0,0,0.4623447483667178,0.4623447483667178,-0.4623447483667178,1
KBANK,TH_STOCK,1H,BUY,moderate,64,2023-09-06T04:00:00.000Z,2023-09-06T04:00:00.000Z,0,131.5,131,129.8214,133.3571,time_exit,1.9999151535720558,0.008962737642585466,1.1785999999999888,1.6785999999999888,1.4242321398269173,-0.4242321398269173,-0.2978672703443366,-0.4242321398269173,0.44629221109791706,0.44629221109791706,-0.8705243509248344,1
BDMS,TH_STOCK,1H,BUY,strong,70,2023-09-06T09:00:00.000Z,2023-09-06T09:00:00.000Z,0,27.5,27.5,27.0179,28.4643,time_exit,2.000207425845267,0.01753090909090906,0.4820999999999991,0.4820999999999991,1,0,0,0,0.22816842978635182,0.22816842978635182,-0.22816842978635182,1
MINT,TH_STOCK,1H,BUY,moderate,58,2023-09-06T09:00:00.000Z,2023-09-06T09:00:00.000Z,0,33.5,33.25,32.7679,34.2143,time_exit,2.0002074258452525,0.014391044776119482,0.48210000000000264,0.7321000000000026,1.5185646131507957,-0.5185646131507957,-0.3414834039065689,-0.5185646131507957,0.2779506326488265,0.2779506326488265,-0.7965152457996223,1
EA,TH_STOCK,1H,SELL,moderate,64,2023-09-07T04:00:00.000Z,2023-09-07T04:00:00.000Z,0,60.75,61,61.5804,59.0893,time_exit,1.9998795761079045,0.013669135802469092,0.8303999999999974,0.8303999999999974,1,-0.30105973025048266,-0.30105973025048266,-0.30105973025048266,0.2926300578034691,0.2926300578034691,-0.5936897880539518,1
BDMS,TH_STOCK,1H,BUY,moderate,58,2023-09-07T09:00:00.000Z,2023-09-07T09:00:00.000Z,0,27.5,27.5,27.0446,28.4107,time_exit,1.9997804128238839,0.016560000000000033,0.4554000000000009,0.4554000000000009,1,0,0,0,0.24154589371980628,0.24154589371980628,-0.24154589371980628,1
CPF,TH_STOCK,1H,SELL,moderate,58,2023-09-07T09:00:00.000Z,2023-09-07T09:00:00.000Z,0,21.100000381469727,21.100000381469727,21.2357,20.5286,time_exit,1.999999999999985,0.011170615911789078,0.23570000000000135,0.1356996185302748,0.5757302440826221,0,0,0,0.3580823144924838,0.3580823144924838,-0.3580823144924838,1
CPALL,TH_STOCK,1H,BUY,moderate,58,2023-09-08T03:00:00.000Z,2023-09-08T03:00:00.000Z,0,64.25,64.25,63.9375,65.625,time_exit,2,0.008754863813229572,0.5625,0.3125,0.5555555555555556,0,0,0,0.4568888888888889,0.4568888888888889,-0.4568888888888889,1
AOT,TH_STOCK,1H,SELL,strong,70,2023-09-08T05:00:00.000Z,2023-09-08T05:00:00.000Z,0,71.75,71.5,72.1429,70.2143,time_exit,1.9998444548141405,0.008960278745644562,0.6428999999999974,0.39289999999999736,0.6111370353087556,0.38886296469124443,0.6362942224484645,0.38886296469124443,0.44641468346554863,0.44641468346554863,-0.057551718774304206,1
